variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
CO,1000.0,5.0,801,20000,1.0,0.1,fejer,0.9998760489655663,0.00012395103443374467
INTSEQ,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9995296762784526,0.00047032372154742763
CO,1000.0,3.0,1201,20000,1.0,0.1,gauss,0.9999611201448264,3.887985517359027e-05
PK-oddK,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.9987745501319897,0.0012254498680103199
INTSEQ,1000.0,5.0,801,20000,1.0,0.1,fejer,0.9988805057281727,0.001119494271827337
PK-noH,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.9999999971475797,2.8524202999591353e-09
INTSEQ,1000.0,5.0,801,20000,1.0,0.1,gauss,0.9988530173641053,0.0011469826358947444
PK-scramble,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.9988023268357388,0.001197673164261226
INTSEQ,1000.0,3.0,1201,20000,1.0,0.1,gauss,0.9994963138463674,0.0005036861536326098
CO,1000.0,5.0,801,20000,1.0,0.1,gauss,0.9998873390653953,0.0001126609346047136
RANDW,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.98170846406628,0.018291535933720016
PK,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9987744427656684,0.001225557234331598
PK-phaseJ,1000.0,5.0,1201,20000,1.0,0.1,fejer,0.9988076939284578,0.001192306071542193
PK-oddK,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9987745501319897,0.0012254498680103199
PK-noH,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9999999999927396,7.260414491838674e-12
PK-scramble,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9987744427656684,0.001225557234331598
RANDW,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9814202302342083,0.018579769765791676
PK,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9961004824171964,0.003899517582803602
PK-oddK,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9964233349683762,0.0035766650316237936
PK-noH,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9999999614966233,3.850337670918691e-08
PK-phaseJ,1000.0,5.0,1201,20000,1.0,0.1,gauss,0.9987809222920073,0.0012190777079926773
PK-scramble,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9961004824171964,0.003899517582803602
PK-phaseJ,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9960604666005729,0.003939533399427098
RANDW,1000.0,7.0,801,20000,1.0,0.1,fejer,0.9586721609518475,0.041327839048152515
PK,1000.0,7.0,801,20000,1.0,0.1,gauss,0.996398082160814,0.003601917839185953
PK-oddK,1000.0,7.0,801,20000,1.0,0.1,gauss,0.9964233349683762,0.0035766650316237936
