variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.9917653521104244,0.00823464788957562
RANDW,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9824592635421763,0.017540736457823725
PK-oddK,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.9922037048362471,0.007796295163752909
PK-noH,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.999999673168555,3.268314450188825e-07
PK-phaseJ,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9987589559824366,0.0012410440175634196
PK-scramble,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.9917653521104244,0.00823464788957562
RANDW,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.9660538899982253,0.03394611000177472
PK-phaseJ,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.9918491097313304,0.008150890268669553
PK,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9923646453490261,0.007635354650973869
PK-oddK,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9922037048362471,0.007796295163752909
PK-noH,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9999999999068634,9.313660953580438e-11
PK-scramble,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9923646453490261,0.007635354650973869
PK-phaseJ,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9924382003588353,0.007561799641164657
RANDW,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9620333388121938,0.03796666118780623
CO,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.9244883865887664,0.07551161341123358
CO,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9995263235686465,0.0004736764313535424
INTSEQ,5000.0,7.0,1201,60000,1.0,0.1,fejer,0.7842566898458978,0.2157433101541022
PK-oddK,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.9922170737567871,0.007782926243212862
PK,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.9917707456337409,0.008229254366259098
INTSEQ,5000.0,5.0,2049,60000,1.0,0.1,fejer,0.9975941500387074,0.002405849961292561
PK-noH,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.9999998884376997,1.115623002867494e-07
CO,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9995101132308598,0.0004898867691401909
PK-scramble,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.9917707456337409,0.008229254366259098
CO,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.9238894965798861,0.07611050342011394
RANDW,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.9660627769231033,0.03393722307689673
INTSEQ,5000.0,5.0,2049,60000,1.0,0.1,gauss,0.9975590899529454,0.002440910047054601
PK,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9923646191279468,0.007635380872053177
PK-phaseJ,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.9917397822768759,0.00826021772312413
INTSEQ,5000.0,7.0,1201,60000,1.0,0.1,gauss,0.7813754550140305,0.2186245449859695
PK-oddK,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9922170737567871,0.007782926243212862
PK-noH,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9999999999679134,3.208655563469165e-11
RANDW,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9620290547563424,0.03797094524365763
PK-scramble,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9923646191279468,0.007635380872053177
PK-phaseJ,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9923181583095725,0.0076818416904275155
CO,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.924498368677435,0.07550163132256504
INTSEQ,5000.0,7.0,2049,60000,1.0,0.1,fejer,0.7843104756519746,0.21568952434802535
CO,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.9238895243734799,0.07611047562652007
INTSEQ,5000.0,7.0,2049,60000,1.0,0.1,gauss,0.7813754965354052,0.21862450346459483
